ID,中文名,英文名,預計圖片檔名,異圖檔名建議(放R2)
221,Flesh-footed shearwater,Flesh-Footed Shearwater,0221.avif,0221_UR.avif
222,楔尾鸌,Wedge-Tailed Shearwater,0222.avif,0222_UR.avif
223,短尾鸌,Short-Tailed Shearwater,0223.avif,0223_UR.avif
224,黑鸛,Black Stork,0224.avif,0224_UR.avif
225,東方白鸛,Oriental Stork,0225.avif,0225_UR.avif
226,白斑軍艦鳥,Lesser Frigatebird,0226.avif,0226_UR.avif
227,白腹軍艦鳥,Christmas Island Frigatebird,0227.avif,0227_UR.avif
228,黑腹軍艦鳥,Great Frigatebird,0228.avif,0228_UR.avif
229,藍臉鰹鳥,Masked Booby,0229.avif,0229_UR.avif
230,褐鰹鳥,Brown Booby,0230.avif,0230_UR.avif
231,紅腳鰹鳥,Red-Footed Booby,0231.avif,0231_UR.avif
232,普通鸕鷀,Great Cormorant,0232.avif,0232_UR.avif
233,綠背鸕鷀,Japanese Cormorant,0233.avif,0233_UR.avif
234,卷羽鵜鶘,Dalmatian Pelican,0234.avif,0234_UR.avif
235,大麻鳽,Great Bittern,0235.avif,0235_UR.avif
236,黃斑葦鳽,Yellow Bittern,0236.avif,0236_UR.avif
237,紫背葦鳽,Ixobrychus Eurhythmus,0237.avif,0237_UR.avif
238,栗葦鳽,Cinnamon Bittern,0238.avif,0238_UR.avif
239,黑鳽,Black Bittern,0239.avif,0239_UR.avif
240,蒼鷺,Gray Heron,0240.avif,0240_UR.avif
241,草鷺,Purple Heron,0241.avif,0241_UR.avif
242,大白鷺,Great Egret,0242.avif,0242_UR.avif
243,中白鷺,Intermediate Egret,0243.avif,0243_UR.avif
244,黃嘴白鷺,Chinese Egret,0244.avif,0244_UR.avif
245,小白鷺,Little Egret,0245.avif,0245_UR.avif
246,岩鷺,Pacific Reef-Heron,0246.avif,0246_UR.avif
247,牛背鷺,Cattle Egret,0247.avif,0247_UR.avif
248,池鷺,Chinese Pond-Heron,0248.avif,0248_UR.avif
249,夜鷺,Black-Crowned Night-Heron,0249.avif,0249_UR.avif
250,栗頭鳽,Japanese Night-Heron,0250.avif,0250_UR.avif
251,黑冠鳽,Malayan Night-Heron,0251.avif,0251_UR.avif
252,Black-headed ibis,Black-Headed Ibis,0252.avif,0252_UR.avif
253,白琵鷺,Eurasian Spoonbill,0253.avif,0253_UR.avif
254,黑臉琵鷺,Black-Faced Spoonbill,0254.avif,0254_UR.avif
255,魚鷹,Osprey,0255.avif,0255_UR.avif
256,黑翅鳶,Black-Winged Kite,0256.avif,0256_UR.avif
